date,category,Exports_US$,volume,unit_price
9/1/2019,Knitwear,238910000,9215000,25.93
9/1/2019,Bedwear,200579000,41287,4.858163587
9/1/2019,Towels,55066000,12852,4.28
9/1/2019,"Tents, Tarpaulines",5484000,2104,2.61
9/1/2019,Garments,199108000,4336000,45.9
9/1/2019,Artificial Silk & Synthetics,25870000,29926,0.86
9/1/2019,Madeups,47736000,0,
9/1/2019,Other Textiles,29129000,0,
10/1/2019,Raw Cotton,1386000,974,
10/1/2019,Cotton Yarn,90273000,35372,2.552103359
10/1/2019,Cotton Cloth,179393000,192938,
10/1/2019,Cotton Crd/Cmd,0,0,
10/1/2019,Non-Cotton Yarn,2714000,1118,2.43
10/1/2019,Knitwear,274646000,10300000,26.66
10/1/2019,Bedwear,217105000,44432,4.886230645
10/1/2019,Towels,71478000,16531,4.32
10/1/2019,"Tents, Tarpaulines",8488000,3230,2.63
10/1/2019,Garments,238797000,5182000,46.1
10/1/2019,Artificial Silk & Synthetics,30594000,35038,0.87
10/1/2019,Madeups,60694000,0,
10/1/2019,Other Textiles,39326000,0,
11/1/2019,Raw Cotton,2069000,1544,
11/1/2019,Cotton Yarn,98506000,41788,2.357279602
11/1/2019,Cotton Cloth,168324000,184112,
11/1/2019,Cotton Crd/Cmd,0,0,
11/1/2019,Non-Cotton Yarn,2716000,1141,2.38
11/1/2019,Knitwear,266821000,10400000,25.66
11/1/2019,Bedwear,195518000,39439,4.957478638
11/1/2019,Towels,65377000,15601,4.19
11/1/2019,"Tents, Tarpaulines",7528000,3295,2.28
11/1/2019,Garments,250254000,5563000,45
11/1/2019,Artificial Silk & Synthetics,27363000,31036,0.88
11/1/2019,Madeups,57090000,0,
11/1/2019,Other Textiles,35338000,0,
12/1/2019,Raw Cotton,1050000,806,
12/1/2019,Cotton Yarn,58131000,23702,2.452577842
12/1/2019,Cotton Cloth,166217000,180524,
12/1/2019,Cotton Crd/Cmd,0,0,
12/1/2019,Non-Cotton Yarn,1861000,750,2.48
12/1/2019,Knitwear,266233000,11302000,23.56
12/1/2019,Bedwear,184283000,35232,5.230557448
12/1/2019,Towels,61938000,14633,4.23
12/1/2019,"Tents, Tarpaulines",7813000,3454,2.26
12/1/2019,Garments,256575000,5121000,50.1
12/1/2019,Artificial Silk & Synthetics,31366000,34707,0.9
12/1/2019,Madeups,57030000,0,
12/1/2019,Other Textiles,49123000,0,
1/1/2020,Raw Cotton,556000,420,
1/1/2020,Cotton Yarn,95625000,40454,2.363795916
1/1/2020,Cotton Cloth,175667000,175277,
1/1/2020,Cotton Crd/Cmd,0,0,
1/1/2020,Non-Cotton Yarn,1759000,796,2.21
1/1/2020,Knitwear,245002000,10241000,23.92
1/1/2020,Bedwear,194082000,32229,6.021967793
1/1/2020,Towels,65261000,14952,4.36
1/1/2020,"Tents, Tarpaulines",10009000,3775,2.65
1/1/2020,Garments,268964000,4171000,64.5
1/1/2020,Artificial Silk & Synthetics,32588000,35442,0.92
1/1/2020,Madeups,55659000,0,
1/1/2020,Other Textiles,49400000,0,
2/1/2020,Raw Cotton,914000,701,
2/1/2020,Cotton Yarn,97645000,40210,2.428376026
2/1/2020,Cotton Cloth,190019000,183206,
2/1/2020,Cotton Crd/Cmd,32000,25,
2/1/2020,Non-Cotton Yarn,2606000,1044,2.5
2/1/2020,Knitwear,258350000,14857000,17.39
2/1/2020,Bedwear,205843000,34531,5.961107411
2/1/2020,Towels,79520000,17514,4.54
2/1/2020,"Tents, Tarpaulines",12090000,3153,3.83
2/1/2020,Garments,280572000,4252000,66
