wheat_area,maize_area,rice_area,sugarcane_area,cotton_area
8649.8,1087.3,2571.2,1057.5,2834.5
8660.2,1059.5,2308.8,1128.8,2878.8
9199.3,1168.5,2789.2,1172.5,2805.7
9203.9,1142.5,2890.6,1140.5,2961.3
9223.7,1191.2,2739.5,1131.6,2901.9
8972.5,1348.4,2724,1217.6,2488.9
8797.2,1250.8,2900.6,1341.8,2700.3
8677.7,1373.9,2810,1101.9,2373
8804.7,1404.2,3034,1039.8,2517.3
9168.2,1417.8,3335.1,1165,2078.9
